source_id	station_code	source_station_name	canonical_name	sequence_hint
KR:4:all	456	오이도	오이도	22
NU:4:all	405	진접	진접	1
NU:4:all	406	오남	오남	2
NU:4:all	408	별내별가람	별내별가람	3
IC:7:all	751	까치울	까치울	1
IC:7:all	752	부천종합운동장	부천종합운동장	2
IC:7:all	753	춘의	춘의	3
IC:7:all	754	신중동	신중동	4
IC:7:all	755	부천시청	부천시청	5
IC:7:all	756	상동	상동	6
IC:7:all	757	삼산체육관	삼산체육관	7
IC:7:all	758	굴포천	굴포천	8
IC:7:all	759	부평구청	부평구청	9
IC:7:all	760	산곡	산곡	10
IC:7:all	761	석남(거북시장)	석남	11
GU:8:all	2805	구리	구리	1
GU:8:all	2807	동구릉	동구릉	2
GU:8:all	2808	장자호수공원	장자호수공원	3
NU:8:all	2804	별내	별내	1
NU:8:all	2806	다산	다산	2
S9:9:all	0901	개화	개화	1
S9:9:all	0902	김포공항	김포공항	2
S9:9:all	0903	공항시장	공항시장	3
S9:9:all	0904	신방화	신방화	4
S9:9:all	0905	마곡나루	마곡나루	5
S9:9:all	0906	양천향교	양천향교	6
S9:9:all	0907	가양	가양	7
S9:9:all	0908	증미	증미	8
S9:9:all	0909	등촌	등촌	9
S9:9:all	0910	염창	염창	10
S9:9:all	0911	신목동	신목동	11
S9:9:all	0912	선유도	선유도	12
S9:9:all	0913	당산	당산	13
S9:9:all	0914	국회의사당	국회의사당	14
S9:9:all	0915	여의도	여의도	15
S9:9:all	0916	샛강	샛강	16
S9:9:all	0918	노들	노들	17
S9:9:all	0919	흑석(중앙대입구)	흑석	18
S9:9:all	0920	동작(현충원)	동작	19
S9:9:all	0921	구반포	구반포	20
S9:9:all	0922	신반포	신반포	21
S9:9:all	0923	고속터미널	고속터미널	22
S9:9:all	0924	사평	사평	23
S9:9:all	0925	신논현	신논현	24
S9:9:all	917	노량진	노량진	25
S9:9:all	926	언주	언주	26
S9:9:all	927	선정릉	선정릉	27
S9:9:all	928	삼성중앙	삼성중앙	28
S9:9:all	929	봉은사	봉은사	29
S9:9:all	930	종합운동장	종합운동장	30
S9:9:all	931	삼전	삼전	31
S9:9:all	932	석촌고분	석촌고분	32
S9:9:all	933	석촌	석촌	33
S9:9:all	934	송파나루	송파나루	34
S9:9:all	935	한성백제	한성백제	35
S9:9:all	936	올림픽공원(한국체대)	올림픽공원	36
S9:9:all	937	둔촌오륜	둔촌오륜	37
S9:9:all	938	중앙보훈병원	중앙보훈병원	38
KR:K4:all	K110	용산	용산	1
KR:K4:all	K111	이촌	이촌	2
KR:K4:all	K112	서빙고	서빙고	3
KR:K4:all	K113	한남	한남	4
KR:K4:all	K114	옥수	옥수	5
KR:K4:all	K115	응봉	응봉	6
KR:K4:all	K118	회기	회기	7
KR:K4:all	K119	중랑	중랑	8
KR:K4:all	K120	상봉	상봉	9
KR:K4:all	K121	망우	망우	10
KR:K4:all	K122	양원(서울시북부병원)	양원	11
KR:K4:all	K123	구리	구리	12
KR:K4:all	K124	도농	도농	13
KR:K4:all	K125	양정	양정	14
KR:K4:all	K126	덕소	덕소	15
KR:K4:all	K127	도심	도심	16
KR:K4:all	K128	팔당	팔당	17
KR:K4:all	K129	운길산	운길산	18
KR:K4:all	K130	양수	양수	19
KR:K4:all	K131	신원	신원	20
KR:K4:all	K132	국수	국수	21
KR:K4:all	K133	아신(아세아연합신학대)	아신	22
