source_id	station_code	source_station_name	canonical_name	sequence_hint
S1:3:all	328	잠원	잠원	20
S1:3:all	329	고속터미널	고속터미널	21
S1:3:all	330	교대(법원.검찰청)	교대	22
S1:3:all	331	남부터미널(예술의전당)	남부터미널	23
S1:3:all	332	양재(서초구청)	양재	24
S1:3:all	333	매봉	매봉	25
S1:3:all	334	도곡	도곡	26
S1:3:all	335	대치	대치	27
S1:3:all	336	학여울	학여울	28
S1:3:all	337	대청	대청	29
S1:3:all	338	일원	일원	30
S1:3:all	339	수서	수서	31
S1:3:all	340	가락시장	가락시장	32
S1:3:all	341	경찰병원	경찰병원	33
S1:3:all	342	오금	오금	34
S1:4:all	409	불암산(당고개)	불암산	1
S1:4:all	410	상계	상계	2
S1:4:all	411	노원	노원	3
S1:4:all	412	창동	창동	4
S1:4:all	413	쌍문	쌍문	5
S1:4:all	414	수유(강북구청)	수유	6
S1:4:all	415	미아	미아	7
S1:4:all	416	미아사거리	미아사거리	8
S1:4:all	417	길음	길음	9
S1:4:all	418	성신여대입구(돈암)	성신여대입구	10
S1:4:all	419	한성대입구(삼선교)	한성대입구	11
S1:4:all	420	혜화	혜화	12
S1:4:all	421	동대문	동대문	13
S1:4:all	422	동대문역사문화공원	동대문역사문화공원	14
S1:4:all	423	충무로	충무로	15
S1:4:all	424	명동	명동	16
S1:4:all	425	회현(남대문시장)	회현	17
S1:4:all	426	서울역	서울역	18
S1:4:all	427	숙대입구(갈월)	숙대입구	19
S1:4:all	428	삼각지	삼각지	20
S1:4:all	429	신용산	신용산	21
S1:4:all	430	이촌(국립중앙박물관)	이촌	22
S1:4:all	431	동작(현충원)	동작	23
S1:4:all	432	총신대입구(이수)	총신대입구(이수)	24
S1:4:all	433	사당	사당	25
S1:4:all	434	남태령	남태령	26
S1:5:all	2511	방화	방화	1
S1:5:all	2512	개화산	개화산	2
S1:5:all	2513	김포공항	김포공항	3
S1:5:all	2514	송정	송정	4
S1:5:all	2515	마곡	마곡	5
S1:5:all	2516	발산	발산	6
S1:5:all	2517	우장산	우장산	7
S1:5:all	2518	화곡	화곡	8
S1:5:all	2519	까치산	까치산	9
S1:5:all	2520	신정(은행정)	신정	10
S1:5:all	2521	목동	목동	11
S1:5:all	2522	오목교(목동운동장앞)	오목교	12
S1:5:all	2523	양평	양평	13
S1:5:all	2524	영등포구청	영등포구청	14
S1:5:all	2525	영등포시장	영등포시장	15
S1:5:all	2526	신길	신길	16
S1:5:all	2527	여의도	여의도	17
S1:5:all	2528	여의나루	여의나루	18
S1:5:all	2529	마포	마포	19
S1:5:all	2530	공덕	공덕	20
S1:5:all	2531	애오개	애오개	21
S1:5:all	2532	충정로(경기대입구)	충정로	22
S1:5:all	2533	서대문	서대문	23
S1:5:all	2534	광화문(세종문화회관)	광화문	24
S1:5:all	2535	종로3가(탑골공원)	종로3가	25
S1:5:all	2536	을지로4가	을지로4가	26
S1:5:all	2537	동대문역사문화공원	동대문역사문화공원	27
S1:5:all	2538	청구	청구	28
S1:5:all	2539	신금호	신금호	29
S1:5:all	2540	행당	행당	30
S1:5:all	2541	왕십리	왕십리	31
S1:5:all	2542	마장	마장	32
S1:5:all	2543	답십리	답십리	33
S1:5:all	2544	장한평	장한평	34
S1:5:all	2545	군자(능동)	군자	35
S1:5:all	2546	아차산(어린이대공원후문)	아차산	36
S1:5:all	2547	광나루(장신대)	광나루	37
S1:5:all	2548	천호(풍납토성)	천호	38
S1:5:all	2549	강동	강동	39
