source_id	station_code	source_station_name	canonical_name	sequence_hint
IC:I2:all	221	인천시청	인천시청	21
IC:I2:all	222	석천사거리	석천사거리	22
IC:I2:all	223	모래내시장	모래내시장	23
IC:I2:all	224	만수	만수	24
IC:I2:all	225	남동구청	남동구청	25
IC:I2:all	226	인천대공원	인천대공원	26
IC:I2:all	227	운연	운연	27
EV:E1:all	Y110	기흥(백남준아트센터)	기흥	1
EV:E1:all	Y111	강남대	강남대	2
EV:E1:all	Y112	지석	지석	3
EV:E1:all	Y113	어정	어정	4
EV:E1:all	Y114	동백	동백	5
EV:E1:all	Y115	초당	초당	6
EV:E1:all	Y116	삼가	삼가	7
EV:E1:all	Y117	시청.용인대	시청.용인대	8
EV:E1:all	Y118	명지대	명지대	9
EV:E1:all	Y119	김량장	김량장	10
EV:E1:all	Y120	운동장.송담대	운동장.송담대	11
EV:E1:all	Y121	고진	고진	12
EV:E1:all	Y122	보평	보평	13
EV:E1:all	Y123	둔전	둔전	14
EV:E1:all	Y124	전대.에버랜드	전대.에버랜드	15
GM:G1:all	G100	양촌	양촌	1
GM:G1:all	G101	구래	구래	2
GM:G1:all	G102	마산	마산	3
GM:G1:all	G103	장기	장기	4
GM:G1:all	G104	운양	운양	5
GM:G1:all	G105	걸포북변	걸포북변	6
GM:G1:all	G106	사우(김포시청)	사우	7
GM:G1:all	G107	풍무	풍무	8
GM:G1:all	G108	고촌	고촌	9
GM:G1:all	G109	김포공항	김포공항	10
UL:U1:all	0110	발곡	발곡	1
UL:U1:all	0111	회룡	회룡	2
UL:U1:all	0112	범골	범골	3
UL:U1:all	0113	경전철의정부	경전철의정부	4
UL:U1:all	0114	의정부시청	의정부시청	5
UL:U1:all	0115	흥선	흥선	6
UL:U1:all	0117	의정부중앙	의정부중앙	7
UL:U1:all	0118	동오	동오	8
UL:U1:all	0119	새말	새말	9
UL:U1:all	0120	경기도청북부청사	경기도청북부청사	10
UL:U1:all	0121	효자	효자	11
UL:U1:all	0122	곤제	곤제	12
UL:U1:all	0123	어룡(용현산업단지)	어룡	13
UL:U1:all	0124	송산	송산	14
UL:U1:all	0125	탑석	탑석	15
UI:UI:all	S110	북한산우이	북한산우이	1
UI:UI:all	S111	솔밭공원	솔밭공원	2
UI:UI:all	S112	4.19민주묘지	4.19민주묘지	3
UI:UI:all	S113	가오리	가오리	4
UI:UI:all	S114	화계	화계	5
UI:UI:all	S115	삼양	삼양	6
UI:UI:all	S116	삼양사거리	삼양사거리	7
UI:UI:all	S117	솔샘	솔샘	8
UI:UI:all	S118	북한산보국문	북한산보국문	9
UI:UI:all	S119	정릉	정릉	10
UI:UI:all	S120	성신여대입구	성신여대입구	11
UI:UI:all	S121	보문	보문	12
UI:UI:all	S122	신설동	신설동	13
SL:L1:all	S401	샛강	샛강	1
SL:L1:all	S402	대방	대방	2
SL:L1:all	S403	서울지방병무청	서울지방병무청	3
SL:L1:all	S404	보라매	보라매	4
SL:L1:all	S405	보라매공원	보라매공원	5
SL:L1:all	S406	보라매병원	보라매병원	6
SL:L1:all	S407	당곡	당곡	7
SL:L1:all	S408	신림	신림	8
SL:L1:all	S409	서원	서원	9
SL:L1:all	S410	서울대벤처타운	서울대벤처타운	10
SL:L1:all	S411	관악산(서울대)	관악산(서울대)	11
GX:A:north	X101	운정중앙	운정중앙	1
GX:A:north	X102	킨텍스	킨텍스	2
GX:A:north	X103	대곡	대곡	3
GX:A:north	X105	연신내	연신내	4
GX:A:north	X106	서울역	서울역	5
GX:A:south	X108	수서	수서	1
GX:A:south	X109	성남	성남	2
GX:A:south	X110	구성	구성	3
SR:A:south	X111	동탄	동탄	1
