source_id	station_code	source_station_name	canonical_name	sequence_hint
S1:5:all	2550	길동	길동	40
S1:5:all	2551	굽은다리(강동구민회관앞)	굽은다리	41
S1:5:all	2552	명일	명일	42
S1:5:all	2553	고덕	고덕	43
S1:5:all	2554	상일동	상일동	44
S1:5:all	2555	둔촌동	둔촌동	45
S1:5:all	2556	올림픽공원(한국체대)	올림픽공원	46
S1:5:all	2557	방이	방이	47
S1:5:all	2558	오금	오금	48
S1:5:all	2559	개롱	개롱	49
S1:5:all	2560	거여	거여	50
S1:5:all	2561	마천	마천	51
S1:5:all	2562	강일	강일	52
S1:5:all	2563	미사	미사	53
S1:5:all	2564	하남풍산	하남풍산	54
S1:5:all	2565	하남시청(덕풍.신장)	하남시청	55
S1:5:all	2566	하남검단산역	하남검단산	56
S1:6:all	2611	응암	응암	1
S1:6:all	2612	역촌	역촌	2
S1:6:all	2613	불광	불광	3
S1:6:all	2614	독바위	독바위	4
S1:6:all	2615	연신내	연신내	5
S1:6:all	2616	구산	구산	6
S1:6:all	2617	새절(신사)	새절	7
S1:6:all	2618	증산(명지대앞)	증산	8
S1:6:all	2619	디지털미디어시티	디지털미디어시티	9
S1:6:all	2620	월드컵경기장(성산)	월드컵경기장	10
S1:6:all	2621	마포구청	마포구청	11
S1:6:all	2622	망원	망원	12
S1:6:all	2623	합정	합정	13
S1:6:all	2624	상수	상수	14
S1:6:all	2625	광흥창(서강)	광흥창	15
S1:6:all	2626	대흥(서강대앞)	대흥	16
S1:6:all	2627	공덕	공덕	17
S1:6:all	2628	효창공원앞	효창공원앞	18
S1:6:all	2629	삼각지	삼각지	19
S1:6:all	2630	녹사평(용산구청)	녹사평	20
S1:6:all	2631	이태원	이태원	21
S1:6:all	2632	한강진	한강진	22
S1:6:all	2633	버티고개	버티고개	23
S1:6:all	2634	약수	약수	24
S1:6:all	2635	청구	청구	25
S1:6:all	2636	신당	신당	26
S1:6:all	2637	동묘앞	동묘앞	27
S1:6:all	2638	창신	창신	28
S1:6:all	2639	보문	보문	29
S1:6:all	2640	안암(고대병원앞)	안암	30
S1:6:all	2641	고려대(종암)	고려대	31
S1:6:all	2642	월곡(동덕여대)	월곡	32
S1:6:all	2643	상월곡(한국과학기술연구원)	상월곡	33
S1:6:all	2644	돌곶이	돌곶이	34
S1:6:all	2645	석계	석계	35
S1:6:all	2646	태릉입구	태릉입구	36
S1:6:all	2647	화랑대(서울여대입구)	화랑대	37
S1:6:all	2648	봉화산(서울의료원)	봉화산	38
S1:6:all	2649	신내	신내	39
S1:7:all	2711	장암	장암	1
S1:7:all	2712	도봉산	도봉산	2
S1:7:all	2713	수락산	수락산	3
S1:7:all	2714	마들	마들	4
S1:7:all	2715	노원	노원	5
S1:7:all	2716	중계	중계	6
S1:7:all	2717	하계	하계	7
S1:7:all	2718	공릉(서울과학기술대)	공릉	8
S1:7:all	2719	태릉입구	태릉입구	9
S1:7:all	2720	먹골	먹골	10
S1:7:all	2721	중화	중화	11
S1:7:all	2722	상봉(시외버스터미널)	상봉	12
S1:7:all	2723	면목	면목	13
S1:7:all	2724	사가정	사가정	14
S1:7:all	2725	용마산	용마산	15
S1:7:all	2726	중곡	중곡	16
S1:7:all	2727	군자(능동)	군자	17
S1:7:all	2728	어린이대공원(세종대)	어린이대공원	18
S1:7:all	2729	건대입구	건대입구	19
S1:7:all	2730	자양(뚝섬한강공원)	자양	20
S1:7:all	2731	청담	청담	21
S1:7:all	2732	강남구청	강남구청	22
S1:7:all	2733	학동	학동	23
S1:7:all	2734	논현	논현	24
