source_id	station_code	source_station_name	canonical_name	sequence_hint
KR:K1:all	K253	고잔	고잔	45
KR:K1:all	K254	초지	초지	46
KR:K1:all	K255	안산	안산	47
KR:K1:all	K256	신길온천	능길	48
KR:K1:all	K257	정왕	정왕	49
KR:K1:all	K258	오이도	오이도	50
KR:K1:all	K259	달월	달월	51
KR:K1:all	K260	월곶	월곶	52
KR:K1:all	K261	소래포구	소래포구	53
KR:K1:all	K262	인천논현	인천논현	54
KR:K1:all	K263	호구포	호구포	55
KR:K1:all	K264	남동인더스파크	남동인더스파크	56
KR:K1:all	K265	원인재	원인재	57
KR:K1:all	K266	연수	연수	58
KR:K1:all	K267	송도	송도	59
KR:K1:all	K269	인하대	인하대	60
KR:K1:all	K270	숭의(인하대병원)	숭의	61
KR:K1:all	K271	신포	신포	62
KR:K1:all	K272	인천	인천	63
KR:K2:all	119	광운대	광운대	1
KR:K2:all	K117	청량리	청량리	2
KR:K2:all	K118	회기	회기	3
KR:K2:all	K119	중랑	중랑	4
KR:K2:all	K120	상봉	상봉	5
KR:K2:all	K121	망우	망우	6
KR:K2:all	P122	신내	신내	7
KR:K2:all	P123	갈매	갈매	8
KR:K2:all	P124	별내(삼육대학교)	별내	9
KR:K2:all	P125	퇴계원	퇴계원	10
KR:K2:all	P126	사릉	사릉	11
KR:K2:all	P127	금곡	금곡	12
KR:K2:all	P128	평내호평	평내호평	13
KR:K2:all	P129	천마산	천마산	14
KR:K2:all	P130	마석	마석	15
KR:K2:all	P131	대성리	대성리	16
KR:K2:all	P132	청평	청평	17
KR:K2:all	P133	상천(호명호수)	상천	18
KR:K2:all	P134	가평(자라섬.남이섬)	가평	19
KR:K2:all	P135	굴봉산(제이드가든)	굴봉산	20
KR:K2:all	P136	백양리(엘리시안강촌)	백양리	21
KR:K2:all	P137	강촌	강촌	22
KR:K2:all	P138	김유정	김유정	23
KR:K2:all	P139	남춘천(강원대)	남춘천	24
KR:K2:all	P140	춘천(한림대)	춘천	25
KR:K5:all	K409	판교(판교테크노밸리)	판교	1
KR:K5:all	K410	성남	성남	2
KR:K5:all	K411	이매	이매	3
KR:K5:all	K412	삼동	삼동	4
KR:K5:all	K413	경기광주	경기광주	5
KR:K5:all	K414	초월	초월	6
KR:K5:all	K415	곤지암	곤지암	7
KR:K5:all	K416	신둔도예촌	신둔도예촌	8
KR:K5:all	K417	이천	이천	9
KR:K5:all	K418	부발	부발	10
KR:K5:all	K419	세종대왕릉	세종대왕릉	11
KR:K5:all	K420	여주	여주	12
KR:WS:all	S07	일산	일산	1
KR:WS:all	S08	풍산	풍산	2
KR:WS:all	S09	백마	백마	3
KR:WS:all	S10	곡산	곡산	4
KR:WS:all	S11	대곡	대곡	5
KR:WS:all	S12	능곡	능곡	6
KR:WS:all	S13	김포공항역	김포공항	7
KR:WS:all	S14	원종	원종	8
KR:WS:all	S15	부천종합운동장역	부천종합운동장	9
SW:WS:all	S16	소사	소사	1
SW:WS:all	S17	소새울	소새울	2
SW:WS:all	S18	시흥대야	시흥대야	3
SW:WS:all	S19	신천	신천	4
SW:WS:all	S20	신현	신현	5
SW:WS:all	S22	시흥시청	시흥시청	6
SW:WS:all	S23	시흥능곡	시흥능곡	7
SW:WS:all	S24	달미	달미	8
SW:WS:all	S25	선부	선부	9
SW:WS:all	S26	초지	초지	10
SW:WS:all	S27	시우	시우	11
SW:WS:all	S28	원시	원시	12
AR:A1:all	A01	서울역	서울역	1
AR:A1:all	A02	공덕	공덕	2
AR:A1:all	A03	홍대입구	홍대입구	3
