source_id	station_code	source_station_name	canonical_name	sequence_hint
KR:K4:all	K134	오빈	오빈	23
KR:K4:all	K135	양평	양평	24
KR:K4:all	K136	원덕(추읍산)	원덕	25
KR:K4:all	K137	용문	용문	26
KR:K4:all	K138	지평	지평	27
KR:K4:all	K209	청량리	청량리	28
KR:K4:all	K210	왕십리	왕십리	29
KR:K4:all	K311	효창공원앞	효창공원앞	30
KR:K4:all	K312	공덕	공덕	31
KR:K4:all	K313	서강대	서강대	32
KR:K4:all	K314	홍대입구	홍대입구	33
KR:K4:all	K315	가좌	가좌	34
KR:K4:all	K316	디지털미디어시티	디지털미디어시티	35
KR:K4:all	K317	수색	수색	36
KR:K4:all	K318	한국항공대	한국항공대	37
KR:K4:all	K319	강매	강매	38
KR:K4:all	K320	행신	행신	39
KR:K4:all	K321	능곡	능곡	40
KR:K4:all	K322	대곡	대곡	41
KR:K4:all	K323	곡산	곡산	42
KR:K4:all	K324	백마	백마	43
KR:K4:all	K325	풍산	풍산	44
KR:K4:all	K326	일산	일산	45
KR:K4:all	K327	탄현	탄현	46
KR:K4:all	K328	야당	야당	47
KR:K4:all	K329	운정	운정	48
KR:K4:all	K330	금릉	금릉	49
KR:K4:all	K331	금촌	금촌	50
KR:K4:all	K333	월롱(서영대학교)	월롱	51
KR:K4:all	K334	파주(두원대학)	파주	52
KR:K4:all	K335	문산	문산	53
KR:K4:all	K336	운천	운천	54
KR:K4:all	K337	임진강	임진강	55
KR:K4:all	K338	도라산	도라산	56
KR:K4:all	P313	서울역	서울역	57
KR:K4:all	P314	신촌	신촌	58
KR:K1:all	K209	청량리	청량리	1
KR:K1:all	K210	왕십리	왕십리	2
KR:K1:all	K211	서울숲	서울숲	3
KR:K1:all	K212	압구정로데오	압구정로데오	4
KR:K1:all	K213	강남구청	강남구청	5
KR:K1:all	K214	선정릉	선정릉	6
KR:K1:all	K215	선릉	선릉	7
KR:K1:all	K216	한티	한티	8
KR:K1:all	K217	도곡	도곡	9
KR:K1:all	K218	구룡	구룡	10
KR:K1:all	K219	개포동	개포동	11
KR:K1:all	K220	대모산입구	대모산입구	12
KR:K1:all	K221	수서	수서	13
KR:K1:all	K222	복정(동서울대학)	복정	14
KR:K1:all	K223	가천대	가천대	15
KR:K1:all	K224	태평	태평	16
KR:K1:all	K225	모란	모란	17
KR:K1:all	K226	야탑	야탑	18
KR:K1:all	K227	이매(성남아트센터)	이매	19
KR:K1:all	K228	서현	서현	20
KR:K1:all	K229	수내(한국잡월드)	수내	21
KR:K1:all	K230	정자	정자	22
KR:K1:all	K231	미금(분당서울대병원)	미금	23
KR:K1:all	K232	오리	오리	24
KR:K1:all	K233	죽전(단국대)	죽전	25
KR:K1:all	K234	보정	보정	26
KR:K1:all	K235	구성	구성	27
KR:K1:all	K236	신갈	신갈	28
KR:K1:all	K237	기흥(백남준아트센터)	기흥	29
KR:K1:all	K238	상갈(루터대학교)	상갈	30
KR:K1:all	K239	청명	청명	31
KR:K1:all	K240	영통(경희대)	영통	32
KR:K1:all	K241	망포	망포	33
KR:K1:all	K242	매탄권선	매탄권선	34
KR:K1:all	K243	수원시청(경기도문화의전당)	수원시청	35
KR:K1:all	K244	매교	매교	36
KR:K1:all	K245	수원	수원	37
KR:K1:all	K246	고색	고색	38
KR:K1:all	K247	오목천	오목천	39
KR:K1:all	K248	어천	어천	40
KR:K1:all	K249	야목	야목	41
KR:K1:all	K250	사리	사리	42
KR:K1:all	K251	한대앞	한대앞	43
KR:K1:all	K252	중앙	중앙	44
