source_id	station_code	source_station_name	canonical_name	sequence_hint
S1:1:all	150	서울역	서울역	1
S1:1:all	151	시청	시청	2
S1:1:all	152	종각	종각	3
S1:1:all	153	종로3가	종로3가	4
S1:1:all	154	종로5가	종로5가	5
S1:1:all	155	동대문	동대문	6
S1:1:all	156	신설동	신설동	7
S1:1:all	157	제기동	제기동	8
S1:1:all	158	청량리(서울시립대입구)	청량리	9
S1:1:all	159	동묘앞	동묘앞	10
S1:2:all	201	시청	시청	1
S1:2:all	202	을지로입구	을지로입구	2
S1:2:all	203	을지로3가	을지로3가	3
S1:2:all	204	을지로4가	을지로4가	4
S1:2:all	205	동대문역사문화공원	동대문역사문화공원	5
S1:2:all	206	신당	신당	6
S1:2:all	207	상왕십리	상왕십리	7
S1:2:all	208	왕십리	왕십리	8
S1:2:all	209	한양대	한양대	9
S1:2:all	210	뚝섬	뚝섬	10
S1:2:all	211	성수	성수	11
S1:2:all	212	건대입구	건대입구	12
S1:2:all	213	구의(광진구청)	구의	13
S1:2:all	214	강변(동서울터미널)	강변	14
S1:2:all	215	잠실나루	잠실나루	15
S1:2:all	216	잠실(송파구청)	잠실	16
S1:2:all	217	잠실새내	잠실새내	17
S1:2:all	218	종합운동장	종합운동장	18
S1:2:all	219	삼성(무역센터)	삼성	19
S1:2:all	220	선릉	선릉	20
S1:2:all	221	역삼	역삼	21
S1:2:all	222	강남	강남	22
S1:2:all	223	교대(법원.검찰청)	교대	23
S1:2:all	224	서초	서초	24
S1:2:all	225	방배	방배	25
S1:2:all	226	사당	사당	26
S1:2:all	227	낙성대	낙성대	27
S1:2:all	228	서울대입구(관악구청)	서울대입구	28
S1:2:all	229	봉천	봉천	29
S1:2:all	230	신림	신림	30
S1:2:all	231	신대방	신대방	31
S1:2:all	232	구로디지털단지	구로디지털단지	32
S1:2:all	233	대림(구로구청)	대림	33
S1:2:all	234	신도림	신도림	34
S1:2:all	234-4	까치산	까치산	35
S1:2:all	235	문래	문래	36
S1:2:all	236	영등포구청	영등포구청	37
S1:2:all	237	당산	당산	38
S1:2:all	238	합정	합정	39
S1:2:all	239	홍대입구	홍대입구	40
S1:2:all	240	신촌	신촌	41
S1:2:all	241	이대	이대	42
S1:2:all	242	아현	아현	43
S1:2:all	243	충정로(경기대입구)	충정로	44
S1:2:all	244	용답	용답	45
S1:2:all	245	신답	신답	46
S1:2:all	246	신설동	신설동	47
S1:2:all	247	도림천	도림천	48
S1:2:all	248	양천구청	양천구청	49
S1:2:all	249	신정네거리	신정네거리	50
S1:2:all	250	용두(동대문구청)	용두	51
S1:3:all	309	지축	지축	1
S1:3:all	310	구파발	구파발	2
S1:3:all	311	연신내	연신내	3
S1:3:all	312	불광	불광	4
S1:3:all	313	녹번	녹번	5
S1:3:all	314	홍제	홍제	6
S1:3:all	315	무악재	무악재	7
S1:3:all	316	독립문	독립문	8
S1:3:all	317	경복궁(정부서울청사)	경복궁	9
S1:3:all	318	안국	안국	10
S1:3:all	319	종로3가	종로3가	11
S1:3:all	320	을지로3가	을지로3가	12
S1:3:all	321	충무로	충무로	13
S1:3:all	322	동대입구	동대입구	14
S1:3:all	323	약수	약수	15
S1:3:all	324	금호	금호	16
S1:3:all	325	옥수	옥수	17
S1:3:all	326	압구정	압구정	18
S1:3:all	327	신사	신사	19
