source_id	station_code	source_station_name	canonical_name	sequence_hint
KR:1:all	150	송내	송내	44
KR:1:all	151	부개	부개	45
KR:1:all	152	부평	부평	46
KR:1:all	153	백운	백운	47
KR:1:all	154	동암	동암	48
KR:1:all	155	간석	간석	49
KR:1:all	156	주안	주안	50
KR:1:all	157	도화	도화	51
KR:1:all	158	제물포	제물포	52
KR:1:all	159	도원	도원	53
KR:1:all	160	동인천	동인천	54
KR:1:all	161	인천	인천	55
KR:1:all	P142	가산디지털단지	가산디지털단지	56
KR:1:all	P143	독산	독산	57
KR:1:all	P144	금천구청	금천구청	58
KR:1:all	P144-1	광명	광명	59
KR:1:all	P145	석수	석수	60
KR:1:all	P146	관악	관악	61
KR:1:all	P147	안양	안양	62
KR:1:all	P148	명학	명학	63
KR:1:all	P149	금정	금정	64
KR:1:all	P150	군포	군포	65
KR:1:all	P151	당정	당정	66
KR:1:all	P152	의왕	의왕	67
KR:1:all	P153	성균관대	성균관대	68
KR:1:all	P154	화서	화서	69
KR:1:all	P155	수원	수원	70
KR:1:all	P156	세류	세류	71
KR:1:all	P157	병점	병점	72
KR:1:all	P157-1	서동탄	서동탄	73
KR:1:all	P158	세마	세마	74
KR:1:all	P159	오산대	오산대	75
KR:1:all	P160	오산	오산	76
KR:1:all	P161	진위	진위	77
KR:1:all	P162	송탄	송탄	78
KR:1:all	P163	서정리	서정리	79
KR:1:all	P164	평택지제	평택지제	80
KR:1:all	P165	평택	평택	81
KR:1:all	P166	성환	성환	82
KR:1:all	P167	직산	직산	83
KR:1:all	P168	두정	두정	84
KR:1:all	P169	천안	천안	85
KR:1:all	P170	봉명	봉명	86
KR:1:all	P171	쌍용(나사렛대)	쌍용(나사렛대)	87
KR:1:all	P172	아산	아산	88
KR:1:all	P173	탕정	탕정	89
KR:1:all	P174	배방	배방	90
KR:1:all	P176	온양온천	온양온천	91
KR:1:all	P177	신창(순천향대)	신창	92
KR:3:all	309	대화	대화	1
KR:3:all	310	주엽	주엽	2
KR:3:all	311	정발산	정발산	3
KR:3:all	312	마두	마두	4
KR:3:all	313	백석	백석	5
KR:3:all	314	대곡	대곡	6
KR:3:all	315	화정	화정	7
KR:3:all	316	원당	원당	8
KR:3:all	317	원흥	원흥	9
KR:3:all	318	삼송	삼송	10
KR:4:all	435	선바위	선바위	1
KR:4:all	436	경마공원	경마공원	2
KR:4:all	437	대공원	대공원	3
KR:4:all	438	과천	과천	4
KR:4:all	439	정부과천청사	정부과천청사	5
KR:4:all	440	인덕원	인덕원	6
KR:4:all	441	평촌	평촌	7
KR:4:all	442	범계	범계	8
KR:4:all	443	금정	금정	9
KR:4:all	444	산본	산본	10
KR:4:all	445	수리산	수리산	11
KR:4:all	446	대야미	대야미	12
KR:4:all	447	반월	반월	13
KR:4:all	448	상록수	상록수	14
KR:4:all	449	한대앞	한대앞	15
KR:4:all	450	중앙	중앙	16
KR:4:all	451	고잔	고잔	17
KR:4:all	452	초지	초지	18
KR:4:all	453	안산	안산	19
KR:4:all	454	신길온천	능길	20
KR:4:all	455	정왕	정왕	21
