date	name	substitute	source
2033-01-01	신정	0	calendar-rule
2033-01-30	설날 연휴	0	calendar-rule
2033-01-31	설날	0	calendar-rule
2033-02-01	설날 연휴	0	calendar-rule
2033-02-02	설날 대체공휴일	1	calendar-rule
2033-03-01	삼일절	0	calendar-rule
2033-05-01	노동절	0	calendar-rule
2033-05-02	노동절 대체공휴일	1	calendar-rule
2033-05-05	어린이날	0	calendar-rule
2033-05-06	부처님오신날	0	calendar-rule
2033-06-06	현충일	0	calendar-rule
2033-07-17	제헌절	0	calendar-rule
2033-07-18	제헌절 대체공휴일	1	calendar-rule
2033-08-15	광복절	0	calendar-rule
2033-09-07	추석 연휴	0	calendar-rule
2033-09-08	추석	0	calendar-rule
2033-09-09	추석 연휴	0	calendar-rule
2033-10-03	개천절	0	calendar-rule
2033-10-09	한글날	0	calendar-rule
2033-10-10	한글날 대체공휴일	1	calendar-rule
2033-12-25	기독탄신일	0	calendar-rule
2033-12-26	기독탄신일 대체공휴일	1	calendar-rule
2034-01-01	신정	0	calendar-rule
2034-02-18	설날 연휴	0	calendar-rule
2034-02-19	설날	0	calendar-rule
2034-02-20	설날 연휴	0	calendar-rule
2034-02-21	설날 대체공휴일	1	calendar-rule
2034-03-01	삼일절	0	calendar-rule
2034-05-01	노동절	0	calendar-rule
2034-05-05	어린이날	0	calendar-rule
2034-05-25	부처님오신날	0	calendar-rule
2034-06-06	현충일	0	calendar-rule
2034-07-17	제헌절	0	calendar-rule
2034-08-15	광복절	0	calendar-rule
2034-09-26	추석 연휴	0	calendar-rule
2034-09-27	추석	0	calendar-rule
2034-09-28	추석 연휴	0	calendar-rule
2034-10-03	개천절	0	calendar-rule
2034-10-09	한글날	0	calendar-rule
2034-12-25	기독탄신일	0	calendar-rule
2035-01-01	신정	0	calendar-rule
2035-02-07	설날 연휴	0	calendar-rule
2035-02-08	설날	0	calendar-rule
2035-02-09	설날 연휴	0	calendar-rule
2035-03-01	삼일절	0	calendar-rule
2035-05-01	노동절	0	calendar-rule
2035-05-05	어린이날	0	calendar-rule
2035-05-07	어린이날 대체공휴일	1	calendar-rule
2035-05-15	부처님오신날	0	calendar-rule
2035-06-06	현충일	0	calendar-rule
2035-07-17	제헌절	0	calendar-rule
2035-08-15	광복절	0	calendar-rule
2035-09-15	추석 연휴	0	calendar-rule
2035-09-16	추석	0	calendar-rule
2035-09-17	추석 연휴	0	calendar-rule
2035-09-18	추석 대체공휴일	1	calendar-rule
2035-10-03	개천절	0	calendar-rule
2035-10-09	한글날	0	calendar-rule
2035-12-25	기독탄신일	0	calendar-rule
