station	from_line	to_line	distance_m	seconds	source
디지털미디어시티	경의중앙선	6호선		140	upstream-V14.9.6
금정	4호선	1호선		64	upstream-V14.9.6
가산디지털단지	1호선	7호선		196	upstream-V14.9.6
금정	1호선	4호선		64	upstream-V14.9.6
수원	1호선	수인분당선		420	upstream-V14.9.6
한대앞	4호선	수인분당선		420	upstream-V14.9.6
중앙	4호선	수인분당선		420	upstream-V14.9.6
고잔	4호선	수인분당선		420	upstream-V14.9.6
초지	4호선	수인분당선		0	upstream-V14.9.6
안산	4호선	수인분당선		420	upstream-V14.9.6
능길	4호선	수인분당선		420	upstream-V14.9.6
정왕	4호선	수인분당선		420	upstream-V14.9.6
오이도	4호선	수인분당선		600	upstream-V14.9.6
오이도	수인분당선	4호선		600	upstream-V14.9.6
온수	1호선	7호선		254	upstream-V14.9.6
한대앞	수인분당선	4호선		420	upstream-V14.9.6
중앙	수인분당선	4호선		420	upstream-V14.9.6
고잔	수인분당선	4호선		420	upstream-V14.9.6
안산	수인분당선	4호선		420	upstream-V14.9.6
능길	수인분당선	4호선		420	upstream-V14.9.6
정왕	수인분당선	4호선		420	upstream-V14.9.6
청량리	수인분당선	1호선		180	upstream-V14.9.6
수원	수인분당선	1호선		420	upstream-V14.9.6
강남구청	수인분당선	7호선		420	upstream-V14.9.6
모란	수인분당선	8호선		91	upstream-V14.9.6
도봉산	1호선	7호선		107	upstream-V14.9.6
대곡	3호선	경의중앙선		600	upstream-V14.9.6
석계	6호선	1호선		208	upstream-V14.9.6
구리	8호선	경의중앙선		43	upstream-V14.9.6
김포공항	9호선	5호선		600	upstream-V14.9.6
당산	9호선	2호선		600	upstream-V14.9.6
여의도	9호선	5호선		600	upstream-V14.9.6
노량진	9호선	1호선		420	upstream-V14.9.6
동작	9호선	4호선		600	upstream-V14.9.6
고속터미널	9호선	3호선		600	upstream-V14.9.6
고속터미널	9호선	7호선		600	upstream-V14.9.6
서울역	1호선	공항철도		600	upstream-V14.9.6
성수	2호선	2호선		38	upstream-V14.9.6
신도림	2호선	2호선		125	upstream-V14.9.6
홍대입구	2호선	공항철도		600	upstream-V14.9.6
서울역	4호선	공항철도		600	upstream-V14.9.6
중랑	경의중앙선	경춘선		0	upstream-V14.9.6
상봉	경의중앙선	7호선		240	upstream-V14.9.6
상봉	경의중앙선	경춘선		120	upstream-V14.9.6
망우	경의중앙선	경춘선		180	upstream-V14.9.6
공덕	경의중앙선	공항철도		600	upstream-V14.9.6
홍대입구	경의중앙선	공항철도		600	upstream-V14.9.6
가좌	경의중앙선	경의중앙선		220	upstream-V14.9.6
디지털미디어시티	경의중앙선	공항철도		560	upstream-V14.9.6
문산	경의중앙선	경의중앙선		30	upstream-V14.9.6
중랑	경춘선	경의중앙선		0	upstream-V14.9.6
상봉	경춘선	7호선		240	upstream-V14.9.6
상봉	경춘선	경의중앙선		120	upstream-V14.9.6
망우	경춘선	경의중앙선		180	upstream-V14.9.6
별내	경춘선	8호선		43	upstream-V14.9.6
구로	1호선	1호선		58	upstream-V14.9.6
금천구청	1호선	1호선		300	upstream-V14.9.6
초지	서해선	수인분당선		420	upstream-V14.9.6
김포공항	5호선	공항철도		480	upstream-V14.9.6
공덕	5호선	공항철도		600	upstream-V14.9.6
강동	5호선	5호선		155	upstream-V14.9.6
디지털미디어시티	6호선	공항철도		390	upstream-V14.9.6
공덕	6호선	공항철도		600	upstream-V14.9.6
상봉	7호선	경춘선		240	upstream-V14.9.6
별내	8호선	경춘선		43	upstream-V14.9.6
김포공항	9호선	공항철도		600	upstream-V14.9.6
서울역	공항철도	4호선		600	upstream-V14.9.6
서울역	공항철도	1호선		600	upstream-V14.9.6
공덕	공항철도	경의중앙선		600	upstream-V14.9.6
공덕	공항철도	6호선		420	upstream-V14.9.6
