station	from_line	to_line	distance_m	seconds	source
신사	신분당선	3호선		310	upstream-V14.9.6
논현	7호선	신분당선		130	upstream-V14.9.6
논현	신분당선	7호선		140	upstream-V14.9.6
신논현	9호선	신분당선		200	upstream-V14.9.6
신논현	신분당선	9호선		200	upstream-V14.9.6
강남	2호선	신분당선		150	upstream-V14.9.6
강남	신분당선	2호선		210	upstream-V14.9.6
양재	3호선	신분당선		200	upstream-V14.9.6
양재	신분당선	3호선		200	upstream-V14.9.6
판교	경강선	신분당선		50	upstream-V14.9.6
판교	신분당선	경강선		50	upstream-V14.9.6
정자	수인분당선	신분당선		130	upstream-V14.9.6
정자	신분당선	수인분당선		170	upstream-V14.9.6
미금	수인분당선	신분당선		250	upstream-V14.9.6
미금	신분당선	수인분당선		250	upstream-V14.9.6
검암	공항철도	인천2호선		400	upstream-V14.9.6
검암	인천2호선	공항철도		400	upstream-V14.9.6
계양	공항철도	인천1호선		130	upstream-V14.9.6
기흥	수인분당선	용인에버라인		250	upstream-V14.9.6
보문	6호선	우이신설선		130	upstream-V14.9.6
보문	우이신설선	6호선		130	upstream-V14.9.6
부평	1호선	인천1호선		240	upstream-V14.9.6
부평	인천1호선	1호선		240	upstream-V14.9.6
부평구청	인천1호선	7호선		100	upstream-V14.9.6
성신여대입구	4호선	우이신설선		130	upstream-V14.9.6
성신여대입구	우이신설선	4호선		130	upstream-V14.9.6
신설동	우이신설선	1호선		130	upstream-V14.9.6
신설동	우이신설선	2호선		400	upstream-V14.9.6
원인재	수인분당선	인천1호선		190	upstream-V14.9.6
원인재	인천1호선	수인분당선		280	upstream-V14.9.6
인천시청	인천1호선	인천2호선		260	upstream-V14.9.6
인천시청	인천2호선	인천1호선		140	upstream-V14.9.6
주안	1호선	인천2호선		190	upstream-V14.9.6
주안	인천2호선	1호선		190	upstream-V14.9.6
총신대입구(이수)	4호선	7호선		230	upstream-V14.9.6
총신대입구(이수)	7호선	4호선		230	upstream-V14.9.6
회룡	1호선	의정부경전철		170	upstream-V14.9.6
회룡	의정부경전철	1호선		160	upstream-V14.9.6
계양	인천1호선	공항철도		130	upstream-V14.9.6
구성	GTX-A(남부)	수인분당선		310	upstream-V14.9.6
구성	수인분당선	GTX-A(남부)		310	upstream-V14.9.6
기흥	용인에버라인	수인분당선		250	upstream-V14.9.6
김포공항	5호선	김포골드라인		200	upstream-V14.9.6
김포공항	9호선	김포골드라인		250	upstream-V14.9.6
김포공항	공항철도	김포골드라인		200	upstream-V14.9.6
김포공항	김포골드라인	5호선		200	upstream-V14.9.6
김포공항	김포골드라인	9호선		190	upstream-V14.9.6
김포공항	김포골드라인	공항철도		250	upstream-V14.9.6
김포공항	김포골드라인	서해선		500	upstream-V14.9.6
김포공항	서해선	김포골드라인		500	upstream-V14.9.6
대곡	3호선	GTX-A(북부)		500	upstream-V14.9.6
대곡	GTX-A(북부)	3호선		500	upstream-V14.9.6
대곡	GTX-A(북부)	경의중앙선		500	upstream-V14.9.6
대곡	GTX-A(북부)	서해선		500	upstream-V14.9.6
대곡	경의중앙선	GTX-A(북부)		500	upstream-V14.9.6
대곡	서해선	GTX-A(북부)		500	upstream-V14.9.6
대방	1호선	신림선		400	upstream-V14.9.6
대방	신림선	1호선		400	upstream-V14.9.6
보라매	7호선	신림선		200	upstream-V14.9.6
보라매	신림선	7호선		200	upstream-V14.9.6
부평구청	7호선	인천1호선		100	upstream-V14.9.6
샛강	9호선	신림선		190	upstream-V14.9.6
샛강	신림선	9호선		190	upstream-V14.9.6
서울역	1호선	GTX-A(북부)		400	upstream-V14.9.6
서울역	4호선	GTX-A(북부)		450	upstream-V14.9.6
서울역	GTX-A(북부)	1호선		400	upstream-V14.9.6
