station	from_line	to_line	distance_m	seconds	source
공덕	공항철도	5호선		420	upstream-V14.9.6
홍대입구	공항철도	2호선		600	upstream-V14.9.6
홍대입구	공항철도	경의중앙선		600	upstream-V14.9.6
디지털미디어시티	공항철도	경의중앙선		560	upstream-V14.9.6
디지털미디어시티	공항철도	6호선		390	upstream-V14.9.6
김포공항	공항철도	5호선		480	upstream-V14.9.6
김포공항	공항철도	9호선		600	upstream-V14.9.6
효창공원앞	경의중앙선	6호선		240	upstream-V14.9.6
신내	6호선	경춘선		120	upstream-V14.9.6
능길	4호선	수인분당선		0	upstream-V14.9.6
초지	4호선	서해선		300	upstream-V14.9.6
대곡	3호선	서해선		180	upstream-V14.9.6
부천종합운동장	7호선	서해선		300	upstream-V14.9.6
인천	1호선	수인분당선		180	upstream-V14.9.6
인천	수인분당선	1호선		180	upstream-V14.9.6
광운대	1호선	경춘선		120	upstream-V14.9.6
광운대	경춘선	1호선		120	upstream-V14.9.6
회기	1호선	경의중앙선		120	upstream-V14.9.6
회기	경의중앙선	1호선		120	upstream-V14.9.6
청량리	1호선	경춘선		240	upstream-V14.9.6
청량리	경춘선	1호선		240	upstream-V14.9.6
청량리	경의중앙선	수인분당선		120	upstream-V14.9.6
청량리	수인분당선	경의중앙선		120	upstream-V14.9.6
청량리	경의중앙선	경춘선		120	upstream-V14.9.6
청량리	경춘선	경의중앙선		120	upstream-V14.9.6
청량리	수인분당선	경춘선		10	upstream-V14.9.6
청량리	경춘선	수인분당선		10	upstream-V14.9.6
김포공항	5호선	서해선		600	upstream-V14.9.6
김포공항	9호선	서해선		480	upstream-V14.9.6
마곡나루	9호선	공항철도		180	upstream-V14.9.6
선정릉	9호선	수인분당선		120	upstream-V14.9.6
종합운동장	9호선	2호선		300	upstream-V14.9.6
석촌	9호선	8호선		120	upstream-V14.9.6
올림픽공원	9호선	5호선		120	upstream-V14.9.6
이매	수인분당선	경강선		60	upstream-V14.9.6
곡산	경의중앙선	서해선		0	upstream-V14.9.6
곡산	서해선	경의중앙선		0	upstream-V14.9.6
백마	경의중앙선	서해선		0	upstream-V14.9.6
백마	서해선	경의중앙선		0	upstream-V14.9.6
풍산	경의중앙선	서해선		0	upstream-V14.9.6
풍산	서해선	경의중앙선		0	upstream-V14.9.6
일산	경의중앙선	서해선		0	upstream-V14.9.6
일산	서해선	경의중앙선		0	upstream-V14.9.6
대곡	경의중앙선	서해선		0	upstream-V14.9.6
대곡	서해선	경의중앙선		0	upstream-V14.9.6
대곡	서해선	3호선		190	upstream-V14.9.6
능곡	경의중앙선	서해선		60	upstream-V14.9.6
능곡	서해선	경의중앙선		60	upstream-V14.9.6
능길	수인분당선	4호선		0	upstream-V14.9.6
초지	수인분당선	4호선		0	upstream-V14.9.6
초지	수인분당선	서해선		310	upstream-V14.9.6
초지	서해선	4호선		310	upstream-V14.9.6
김포공항	공항철도	서해선		510	upstream-V14.9.6
김포공항	서해선	5호선		480	upstream-V14.9.6
김포공항	서해선	9호선		510	upstream-V14.9.6
김포공항	서해선	공항철도		570	upstream-V14.9.6
마곡나루	공항철도	9호선		180	upstream-V14.9.6
부천종합운동장	서해선	7호선		320	upstream-V14.9.6
선정릉	수인분당선	9호선		140	upstream-V14.9.6
소사	1호선	서해선		200	upstream-V14.9.6
소사	서해선	1호선		200	upstream-V14.9.6
신내	경춘선	6호선		130	upstream-V14.9.6
이매	경강선	수인분당선		50	upstream-V14.9.6
총신대입구	7호선	4호선		260	upstream-V14.9.6
회기	1호선	경춘선		120	upstream-V14.9.6
회기	경춘선	1호선		120	upstream-V14.9.6
회기	경의중앙선	경춘선		0	upstream-V14.9.6
회기	경춘선	경의중앙선		0	upstream-V14.9.6
신사	3호선	신분당선		310	upstream-V14.9.6
